"","valeur_reelle","Random_Forest","Rpart","Gradient","Regression","Regression_backward","Regression_penalisee","SVM","SVM_lineaire","Extra_Gradient"
"2312",2.7,2.88099666666667,3.15805396565821,2.83750944916476,2.79685611924892,2.79958578427777,2.80575383452373,2.73537407052283,2.81843087757533,2.24871969223022
"2313",2.3,2.70525999999999,3.2664047151277,3.20101254033023,3.34546406067824,3.3620800619154,3.33375343287917,3.23390798820539,3.32934097425634,2.91671919822693
"2314",2,2.22940666666667,2.4592,2.6116940151335,2.74335602191108,2.74483810956818,2.74598827171408,2.75048414105488,2.77488768220876,2.48990535736084
"2315",2.9,2.90879,2.70272373540856,2.81786901304104,2.735223059558,2.73597582227871,2.75531754998479,2.70788005721578,2.79321746453487,2.79701805114746
"2316",3.4,3.39201666666668,3.2664047151277,3.23797205552536,3.3382353603561,3.3230308662054,3.32867213551549,3.43526934686323,3.34104123015462,3.40504097938538
"2317",3.2,3.12393000000001,3.10827067669173,2.82050202108442,2.79696435544992,2.78318911500628,2.8377302119617,2.91905161416209,2.78816389892994,3.04124736785889
"2318",2.4,3.10095333333333,3.10827067669173,2.93338030405757,2.76446343694417,2.78611008022447,2.79126323219013,3.13205528293684,2.7087960909818,3.09985613822937
"2319",2,2.32756333333333,2.82560975609756,2.59256830739443,2.62292455697441,2.62269077780441,2.66994816781145,2.80882520680761,2.63890035166664,2.65413784980774
"2320",3.2,3.19968666666667,3.2664047151277,3.14163024173734,3.14929669956071,3.14445204103572,3.18870197058987,3.14115943366081,3.14506627217716,3.18973755836487
"2321",3.2,3.22157666666668,3.15805396565821,3.50873492653372,3.49983565088505,3.49721494757577,3.49691296096728,3.47819946413561,3.54002327762711,3.36451935768127
"2322",3,3.00232,2.85261194029851,2.90294231981691,3.08972167470522,3.09360616572944,3.07413407948287,3.00381833051054,3.09989489064686,3.07861065864563
"2323",2.9,3.0707,3.10827067669173,3.09017947893284,3.17310526369664,3.17198849167893,3.19090396424868,3.32404467046314,3.20937093870864,2.93744277954102
"2324",3.5,3.53120333333334,3.144,3.74054514598636,3.56127559175067,3.55896839293526,3.57263561026155,3.65919933841294,3.66715268332121,3.49228692054749
"2325",3.7,3.62261666666668,3.47265306122449,3.62219408594696,3.61240451896972,3.59987554394632,3.59930951971009,3.64131525714888,3.62922616676522,3.59684777259827
"2326",3.1,3.11702666666666,3.15805396565821,3.10767659274345,2.97689872316478,2.97513103902122,2.96192100144584,3.0462335029343,3.00018569828474,3.02889704704285
"2327",3.8,3.65285333333333,2.96904761904762,3.2002962759471,3.29462217736427,3.29368676977179,3.30259328327475,3.23841623623293,3.29311240878685,3.35092949867249
"2328",2.6,2.56435666666667,2.52842105263158,2.51264246808437,2.4365177115504,2.43560860444649,2.48645872469295,2.41755693698644,2.45487494265444,2.44570636749268
"2329",3.7,3.52252000000001,3.41875,3.20222438585031,3.33225383933968,3.35320003942606,3.33513643630874,3.37205919854815,3.3578972274519,3.31927943229675
"2330",2.3,2.28343,2.78723404255319,2.41007903017458,2.36239690206645,2.36009584826011,2.40701361233085,2.241124122772,2.34121705523322,2.25324440002441
"2331",2.5,2.72933,3.10827067669173,3.01059382337682,2.90251415407221,2.89980363255077,2.92858939068005,2.79729790189454,2.92858973053279,2.93036556243896
"2332",1.5,2.04334666666667,2.70272373540856,2.90064990767085,2.9492101805195,2.95537966443735,2.9561169537701,3.25820768227478,3.0062363965013,2.6117992401123
"2333",3.1,3.13679333333333,3.15805396565821,3.25499631470012,3.12967531162675,3.1394876235395,3.13683505349271,3.14936986226263,3.1080958410843,3.1766631603241
"2334",3.1,2.98374333333333,2.90740740740741,2.57040327170247,2.69266531827035,2.69420424093373,2.68709586726713,2.64643508594502,2.74493305974555,2.66084766387939
"2335",3.6,3.46658999999999,3.2664047151277,3.42176685471663,3.40621521114491,3.41518314993049,3.36319355582743,3.44300925369129,3.43049059673506,3.38664579391479
"2336",2.7,2.85856666666667,3.07321428571428,3.00412483703213,2.94524262693084,2.94734702884523,2.924892598049,3.03805546936918,2.98803499732619,2.95142889022827
"2337",2.3,3.0716,3.10827067669173,2.99519052226855,3.18210517566565,3.18104240987484,3.15814815909439,3.17082002750498,3.20176022173254,2.87137770652771
"2338",3.4,3.32124666666667,3.144,3.06615654483326,2.89015185737798,2.87429766552724,2.86934556364462,2.97305787735239,2.89922042706729,3.08189582824707
"2339",3.5,3.42571333333333,3.33564231738035,3.24255332700076,3.16675568741923,3.16427459955737,3.15791886715169,3.18688863756527,3.14144979930321,3.3066508769989
"2340",2.8,2.96140333333333,3.2664047151277,3.24011755405331,3.0475449068892,3.04253453269795,3.03535658678191,3.0827798696252,3.04888710873164,3.14158368110657
"2341",2.8,2.87492999999999,3.15805396565821,2.93772243728591,3.03340866828676,3.02599143384726,3.00234060986915,3.0188751938583,2.98831616539449,3.05892419815063
"2342",2,2.2814,2.70272373540856,2.8053440060663,2.79033009454558,2.7898252007397,2.78558803042977,2.85752830966438,2.8379987387902,2.76488995552063
"2343",3.6,3.44750666666666,3.2664047151277,3.25320871513375,3.27633434733755,3.27301699289175,3.26316290987667,3.25601855637635,3.25862142112762,3.30286002159119
"2344",3.6,3.23977666666666,3.09705882352941,3.03471761178136,2.97270711668086,2.97191818877736,2.97838614902446,2.98330530052961,3.00797208937625,2.965824842453
"2345",3,3.16904015873016,3.47265306122449,3.46678178659043,3.67196064574792,3.67437451552753,3.63306918351686,3.50541427316506,3.55773581283957,3.38166666030884
"2346",3.9,3.65425000000001,3.10827067669173,3.2167888558102,3.03635079339163,3.03456764160985,3.02113353383567,3.07820211692383,3.00554174277538,3.18280553817749
"2347",3.5,3.30582333333333,3.144,3.13901964184028,3.03280057827055,3.01500204198515,3.04543026881317,3.29263232636523,3.0559754324018,3.04417681694031
"2348",3.3,3.26660333333333,3.07321428571428,2.97294764905828,2.97851375616691,2.98710121189864,3.02358477508182,3.3019522450233,3.0892510835147,3.02308440208435
"2349",3.5,3.33757333333333,3.15805396565821,3.18110728027991,3.00110157879573,3.01380204838834,3.05291987043142,3.22507408700896,3.01322256934805,3.14112138748169
"2350",3,3.21337,3.15805396565821,3.24310138062979,3.00083316423892,2.99798735007509,2.99977827615265,2.97415624112036,2.98359436607945,3.20291018486023
"2351",3.4,3.20127666666667,3.07530120481928,2.75389048048102,2.6401628041102,2.65088262219183,2.67022687652443,2.73168695223431,2.73062485976163,3.27115821838379
"2352",3.1,3.05286333333333,3.144,3.02799064311237,2.88117870022772,2.87873823207418,2.90708693431794,3.04112007737611,2.89310123852461,2.96929669380188
